timestamp,trip_id,route_id,stop_id,delay_seconds,schedule_relationship,lat,lon
2026-06-30T18:25:46+00:00,74487721,61-20789,4986,,0,51.1142,-113.96
2026-06-30T18:25:46+00:00,74487756,33-20789,6104,,0,51.0776,-113.989
2026-06-30T18:25:46+00:00,74487757,33-20789,6040,,0,51.0597,-114.012
2026-06-30T18:25:46+00:00,74487799,303-20789,6751,,0,51.0868,-114.133
2026-06-30T18:25:46+00:00,74487800,303-20789,2803,,0,51.0671,-114.102
2026-06-30T18:25:46+00:00,74487802,303-20789,2376,,0,51.1245,-113.949
2026-06-30T18:25:46+00:00,74487824,303-20789,7579,,0,51.0815,-113.98
2026-06-30T18:25:46+00:00,74487826,303-20789,8163,,0,51.0873,-113.958
2026-06-30T18:25:46+00:00,74487873,300-20789,3884,,0,51.0445,-114.063
2026-06-30T18:25:46+00:00,74487883,300-20789,3900,,0,51.1316,-114.011
2026-06-30T18:25:46+00:00,74487887,300-20789,4459,,0,51.1233,-114.071
2026-06-30T18:25:46+00:00,74487931,300-20789,8418,,0,51.0884,-114.063
2026-06-30T18:25:46+00:00,74487976,4-20789,5266,,0,51.1227,-114.071
2026-06-30T18:25:46+00:00,74487977,4-20789,5493,,0,51.0836,-114.095
2026-06-30T18:25:46+00:00,74487978,4-20789,8200,,0,51.0477,-114.07
2026-06-30T18:25:46+00:00,74487980,4-20789,5275,,0,51.0843,-114.052
2026-06-30T18:25:46+00:00,74488032,5-20789,5266,,0,51.1226,-114.071
2026-06-30T18:25:46+00:00,74488036,5-20789,5274,,0,51.0867,-114.052
2026-06-30T18:25:46+00:00,74488037,5-20789,6537,,0,51.0483,-114.062
2026-06-30T18:25:46+00:00,74488039,5-20789,5779,,0,51.0829,-114.093
2026-06-30T18:25:46+00:00,74488083,2-20789,5115,,0,51.0476,-114.065
2026-06-30T18:25:46+00:00,74488086,2-20789,5136,,0,51.0378,-114.101
2026-06-30T18:25:46+00:00,74488096,38-20789,9065,,0,51.0887,-114.066
2026-06-30T18:25:46+00:00,74488281,23-20789,6459,,0,50.9153,-113.957
2026-06-30T18:25:46+00:00,74488311,422-20789,4000,,0,51.104,-114.159
2026-06-30T18:25:46+00:00,74488324,85-20789,5600,,0,51.111,-113.965
2026-06-30T18:25:46+00:00,74488447,128-20789,1941,,0,51.1613,-113.942
2026-06-30T18:25:46+00:00,74488449,128-20789,8597,,0,51.1247,-113.948
2026-06-30T18:25:46+00:00,74488450,128-20789,2374,,0,51.1541,-113.958
2026-06-30T18:25:46+00:00,74488480,145-20789,2297,,0,51.1451,-113.97
2026-06-30T18:25:46+00:00,74488484,145-20789,9633,,0,51.125,-113.953
2026-06-30T18:25:46+00:00,74488531,145-20789,2537,,0,51.1677,-113.951
2026-06-30T18:25:46+00:00,74488576,100-20789,2420,,0,51.1307,-114.007
2026-06-30T18:25:46+00:00,74488579,100-20789,9781,,0,51.1259,-113.948
2026-06-30T18:25:46+00:00,74488580,100-20789,4455,,0,51.1542,-114.04
2026-06-30T18:25:46+00:00,74488645,157-20789,4593,,0,51.1571,-114.068
2026-06-30T18:25:46+00:00,74488662,157-20789,2293,,0,51.1544,-114.003
2026-06-30T18:25:46+00:00,74488697,157-20789,2415,,0,51.1471,-113.973
